number of packet,Adjusted RTT(ms)
1,0.3753000000000001
2,0.208
3,0.125
4,0.199
5,0.11
6,0.146
7,0.127
8,0.109
9,0.187
10,0.112
11,0.102
12,0.113
13,0.148
14,0.134
15,0.317
16,0.204
17,0.11
18,0.179
19,0.137
20,0.161
21,0.126
22,0.098
23,0.183
24,0.137
25,0.241
26,0.215
27,0.102
28,0.338
29,0.134
30,0.135
31,0.107
32,0.283
33,0.181
34,0.171
35,0.113
36,0.313
37,0.12
38,0.175
39,0.187
40,0.115
41,0.259
42,0.269
43,0.234
44,0.204
45,0.137
46,0.229
47,0.127
48,0.103
49,0.23
50,0.165
51,0.12
52,0.153
53,0.159
54,0.121
55,0.125
56,0.097
57,0.098
58,0.116
59,0.147
60,0.114
61,0.109
62,0.166
63,0.124
64,0.135
65,0.132
66,0.1
67,0.249
68,0.487
69,0.209
70,0.102
71,0.158
72,0.109
73,0.107
74,0.17317130581677748
75,0.106
76,0.241
77,0.12
78,0.127
79,0.364
80,0.164
81,0.547
82,0.138
83,0.101
84,0.275
85,0.122
86,0.262
87,0.354
88,0.115
89,0.21420593715041025
90,0.133
91,0.192
92,0.134
93,0.162
94,0.145
95,0.134
96,0.12
97,0.097
98,0.298
99,0.106
100,0.142
101,0.139
102,0.143
103,0.19
104,0.176
105,0.108
106,0.264
107,0.113
108,0.128
109,0.124
110,0.128
111,0.42
112,0.118
113,0.159
114,0.189
115,0.147
116,0.148
117,0.099
118,0.182
119,0.116
120,0.194
121,0.143
122,0.21
123,0.126
124,0.104
125,0.158
126,0.145
127,0.28
128,0.104
129,0.098
130,0.1
131,0.107
132,0.214
133,0.22
134,0.119
135,0.108
136,0.12
137,0.106
138,0.143
139,0.161
140,0.192
141,0.327
142,0.108
143,0.4805439216554987
144,0.145
145,0.127
146,0.138
147,0.231
148,0.133
149,0.353
150,0.216
151,0.395
152,0.141
153,0.190978787
154,0.285
155,0.351
156,0.163
157,0.112
158,0.49448021154239286
159,0.124
160,0.126
161,0.127
162,0.34
163,0.128
164,0.111
165,0.212
166,0.123
167,0.30324334476112297
168,0.117
169,0.144
170,0.525
171,0.175
172,0.101
173,0.142
174,0.115
175,0.251
176,0.141
177,0.157
178,0.383
179,0.238
180,0.115
181,0.185
182,0.20878626886106255
183,0.581
184,0.204
185,0.425
186,0.131
187,0.102
188,0.105
189,0.154
190,0.158
191,0.187
192,0.124
193,0.176
194,0.111
195,0.149
196,0.165
197,0.219
198,0.136
199,0.118
200,0.18349448351077313
201,0.148
202,0.125
203,0.108
204,0.212
205,0.111
206,0.125
207,0.277
208,0.134
209,0.523
210,0.128
211,0.156
212,0.111
213,0.107
214,0.115
215,0.175
216,0.164
217,0.12
218,0.119
219,0.142
220,0.127
221,0.102
222,0.114
223,0.116
224,0.101
225,0.22375487651735626
226,0.105
227,0.165
228,0.316
229,0.106
230,0.109
231,0.273
232,0.441
233,0.123
234,0.1
235,0.111
236,0.345
237,0.202
238,0.121
239,0.162
240,0.3016948681070236
241,0.102
242,0.129
243,0.104
244,0.134
245,0.144
246,0.111
247,0.23304573644195237
248,0.201
249,0.126
250,0.111
251,0.326
252,0.108
253,0.139
254,0.13
255,0.335
256,0.12
257,0.192
258,0.454
259,0.098
260,0.388
261,0.209
262,0.156
263,0.197
264,0.268
265,0.118
266,0.106
267,0.111
268,0.099
269,0.199
270,0.142
271,0.141
272,0.099
273,0.241
274,0.311
275,0.132
276,0.16
277,0.217
278,0.154
279,0.139
280,0.153
281,0.101
282,0.133
283,0.113
284,0.1
285,0.097
286,0.115
287,0.101
288,0.186
289,0.127
290,0.279
291,0.134
292,0.28440354546958085
293,0.132
294,0.216
295,0.386
296,0.2
297,0.149
298,0.142
299,0.218
300,0.131